role,optimizer_a,optimizer_b,delta_definition,config_hash_a,config_hash_b,lr_a,weight_decay_a,lr_b,weight_decay_b,checkpoint_role,definition_version,evaluation_git_sha,inventory_hash,dataset_policy_hash,analysis_dtype,metric_name,artifact_key,formula_id,reporting_tier,direction,fit_split,query_split,transform,statistic,seed0_delta,seed1_delta,seed2_delta,mean_delta,sample_sd_delta_ddof1,formatted_delta
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NC2 equinorm,geometry/nc2_equinorm,GEO-6,primary,down,id_train,id_train,raw_feature,,-0.010051087635681917,-0.03412961027487573,-0.024862067361684642,-0.02301425509074743,0.012145148033803947,-0.023014 ± 0.012145
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NC2 equiangular,geometry/nc2_equiangular,GEO-6,primary,down,id_train,id_train,raw_feature,,-0.015729650825814213,-0.025113226558525034,-0.014960681632021779,-0.018601186338787008,0.0056526833692384275,-0.018601 ± 0.005653
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NC2 ETF,geometry/nc2_etf_raw,GEO-6,primary,down,id_train,id_train,raw_feature,,-0.047409293591570756,-0.11574517236167803,-0.07281235755487983,-0.07865560783604288,0.03454063928486173,-0.078656 ± 0.034541
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NC3,geometry/nc3_self_duality_raw,GEO-8,primary,down,id_train,id_train,raw_feature,,-0.04005888382984768,-0.0431739086823939,-0.03197007406599861,-0.03840095552608006,0.005782994226454811,-0.038401 ± 0.005783
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,NC4,geometry/nc4_agreement_with_bias,GEO-9,primary,up,id_train,id_test,raw_feature_and_logits,,0.0034999999999999476,0.0045999999999999375,0.006000000000000005,0.004699999999999964,0.001252996408614197,0.004700 ± 0.001253
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,RankMe,geometry/rankme_uncentered,GEO-10,primary,descriptive,id_train,id_train,raw_feature_uncentered,,-39.23330612717963,-40.99661774798642,-41.783219224895674,-40.67104770002057,1.305760733662687,-40.671048 ± 1.305761
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,SW entropy rank,geometry/spectrum/sw_entropy_rank,GEO-11,primary,descriptive,id_train,id_train,raw_feature_covariance,,-7.612672415376334,-9.169226399814217,-8.585824121464015,-8.455907645551521,0.7863674679515319,-8.455908 ± 0.786367
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,SW trace/top rank,geometry/spectrum/sw_trace_top_rank,GEO-11,primary,descriptive,id_train,id_train,raw_feature_covariance,,0.6938154276307333,0.629272536065006,-0.0103397163089749,0.4375827491289215,0.3892522928588718,0.437583 ± 0.389252
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,SW participation ratio,geometry/spectrum/sw_participation_ratio,GEO-11,primary,descriptive,id_train,id_train,raw_feature_covariance,,-2.3729867240284577,-3.353556080296727,-3.1246309090742486,-2.950391237799811,0.5129801778796721,-2.950391 ± 0.512980
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,SW numerical rank,geometry/spectrum/sw_numerical_rank,GEO-12,primary,descriptive,id_train,id_train,raw_feature_covariance,,0.0,0.0,0.0,0.0,0.0,0.000000 ± 0.000000
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,SW condition number,geometry/spectrum/sw_condition_number_retained,GEO-12,primary,descriptive,id_train,id_train,raw_feature_covariance,,-66.15443642266109,8622.247323072512,5453.413533676079,4669.835473441976,4396.882670251719,4669.835473 ± 4396.882670
C3,adam,adamw,optimizer_a_minus_optimizer_b_seed_matched,b701f780ad99d469949a985b0472b8d1f26be0545e531d92895b7559ca142328,5742764ef3bd686abf56fbeafa222ed2fa2784afb6f787533493cfe88190f71f,0.0003,0.0,0.001,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,LID-50,geometry/lid_k50,GEO-14,primary,descriptive,id_train,id_train,raw_feature_exact_neighbors,,-2.4180512647564605,-2.478584066012692,-2.3745663274901467,-2.423733886086433,0.052241187014854834,-2.423734 ± 0.052241
C4,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,7aa36ee28bf5fa9c0b29152bb63c02833c5c6d02ae2c4908d0256a35582c9d9c,3e2bac6d488d016b4c0a216c6e210e16bcc4ca139bf6356687dc98bc7c39ec78,0.3,0.0,0.0003,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Feature norm mean,geometry/feature_norm/global,GEO-1,primary,descriptive,id_train,id_train,raw_feature,mean,-13.512269548965346,-13.556480347982285,-13.440942126549135,-13.503230674498923,0.058297050454536065,-13.503231 ± 0.058297
C4,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,7aa36ee28bf5fa9c0b29152bb63c02833c5c6d02ae2c4908d0256a35582c9d9c,3e2bac6d488d016b4c0a216c6e210e16bcc4ca139bf6356687dc98bc7c39ec78,0.3,0.0,0.0003,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,Feature norm CV,geometry/feature_norm/global,GEO-1,primary,descriptive,id_train,id_train,raw_feature,cv,0.07480506269545395,0.06694175383778869,0.06964627090748887,0.07046436248024383,0.003994979588661091,0.070464 ± 0.003995
C4,sgd,adam,optimizer_a_minus_optimizer_b_seed_matched,7aa36ee28bf5fa9c0b29152bb63c02833c5c6d02ae2c4908d0256a35582c9d9c,3e2bac6d488d016b4c0a216c6e210e16bcc4ca139bf6356687dc98bc7c39ec78,0.3,0.0,0.0003,0.0001,last,metric_contract_v1.2,c38b09694be88aa74de0741b39e9d3ba0d6ff61a,35a1a66f78dfd6255c4d804586ee6863969be78d21acec5cd0ccf00476ddaa5c,f80984d28ef9a7550633fb3aea514f783f3db1fa655a6d3f49850b10857e6afc,float64,CDNV,geometry/cdnv/mean,GEO-2,primary,down,id_train,id_train,raw_feature,,0.28647521911986346,0.3093913346752356,0.2918204817427936,0.29589567851263093,0.011989266431748921,0.295896 ± 0.011989
